servidor_id,tipo_rede,uso_cpu,uso_memoria,latencia_rede_ms,taxa_pacotes_perdidos,status_alerta
SRV-001,AWS,60.13,67.01,25.31,5.34,1
SRV-002,On-Premise,83.14,55.69,23.79,0.6,0
SRV-003,Azure,69.26,67.09,2.0,0.99,1
SRV-004,Azure,46.35,73.3,18.27,0.33,1
SRV-005,AWS,41.52,69.85,4.07,1.42,0
SRV-006,AWS,62.38,66.09,33.43,0.49,1
SRV-007,AWS,35.2,72.8,17.95,0.35,0
SRV-008,On-Premise,82.47,74.03,28.5,1.09,0
SRV-009,Azure,72.69,76.59,2.0,0.01,0
SRV-010,Azure,47.96,67.78,2.22,0.01,0
SRV-011,AWS,29.3,57.99,31.5,0.37,0
SRV-012,On-Premise,75.31,61.76,2.0,0.06,0
SRV-013,On-Premise,53.28,74.48,2.0,0.17,1
SRV-014,AWS,73.57,50.2,2.0,0.62,0
SRV-015,AWS,31.08,64.42,78.38,2.43,0
SRV-016,AWS,46.01,55.28,33.44,1.27,1
SRV-017,AWS,55.08,60.34,10.89,1.08,1
SRV-018,Azure,55.7,75.34,8.79,0.52,1
SRV-019,Azure,48.25,62.29,10.76,4.03,0
SRV-020,AWS,64.34,60.56,37.25,0.76,1
SRV-021,Azure,38.99,43.68,27.07,0.14,0
SRV-022,AWS,52.86,68.96,5.12,1.44,0
SRV-023,AWS,56.8,67.75,4.78,0.18,0
SRV-024,AWS,62.72,85.96,2.59,0.64,1
SRV-025,Azure,65.67,56.31,26.99,1.06,0
SRV-026,On-Premise,38.13,62.63,36.14,3.11,0
SRV-027,AWS,31.99,62.99,7.7,1.02,0
SRV-028,Azure,74.17,78.93,2.0,1.82,0
SRV-029,Azure,59.98,58.86,2.14,7.4,0
SRV-030,AWS,43.77,63.35,85.94,0.21,0
SRV-031,Azure,78.27,67.29,8.75,0.48,0
SRV-032,AWS,56.74,62.24,36.66,0.75,0
SRV-033,AWS,72.69,54.64,24.5,0.82,0
SRV-034,On-Premise,56.01,62.33,12.03,0.79,0
SRV-035,On-Premise,85.91,72.88,5.76,3.57,0
SRV-036,On-Premise,81.33,47.68,3.24,1.88,0
SRV-037,AWS,51.27,61.6,23.86,1.4,0
SRV-038,AWS,69.57,51.6,37.25,0.56,0
SRV-039,Azure,64.68,74.34,25.81,2.6,0
SRV-040,Azure,75.53,41.72,18.89,4.65,1
SRV-041,AWS,40.53,53.29,2.0,2.58,0
SRV-042,Azure,65.29,64.53,86.44,0.0,0
SRV-043,AWS,70.88,78.79,40.08,1.52,0
SRV-044,On-Premise,28.62,59.21,8.66,0.08,0
SRV-045,AWS,37.25,53.34,97.76,0.45,0
SRV-046,Azure,24.41,82.57,23.03,0.09,0
SRV-047,AWS,50.96,42.62,21.83,1.39,0
SRV-048,Azure,65.76,33.61,34.47,1.74,0
SRV-049,Azure,77.54,65.28,41.75,0.18,0
SRV-050,AWS,56.11,53.98,26.71,0.73,1
SRV-051,On-Premise,79.43,47.75,3.43,0.91,1
SRV-052,On-Premise,34.3,68.5,10.32,0.69,0
SRV-053,On-Premise,29.45,62.93,65.81,0.19,0
SRV-054,On-Premise,54.17,53.23,6.36,0.81,0
SRV-055,Azure,60.76,44.64,11.64,2.09,0
SRV-056,On-Premise,54.51,70.47,14.14,0.11,0
SRV-057,AWS,23.99,67.8,14.47,0.13,0
SRV-058,AWS,53.66,58.81,23.73,0.66,1
SRV-059,AWS,35.43,82.16,71.65,4.26,0
SRV-060,AWS,65.05,47.16,6.88,1.66,0
SRV-061,AWS,60.5,41.69,3.24,1.7,0
SRV-062,AWS,40.9,51.7,5.5,0.67,0
SRV-063,On-Premise,47.29,59.45,54.49,1.35,0
SRV-064,AWS,39.11,62.92,25.95,0.02,0
